slug,filename,path,title_guess,pages,words,chars,tags,text_path,note_path
geofaith-a-spatio-temporal-dual-view-of-faithful-chain-of-thought,GeoFaith-A Spatio-Temporal Dual View of Faithful Chain-of-Thought.pdf,C:\Users\613\Desktop\papers\推理\GeoFaith-A Spatio-Temporal Dual View of Faithful Chain-of-Thought.pdf,GeoFaith: A Spatio-Temporal Dual View of Faithful Chain-of-Thought,30,15500,95451,geometry;dynamics;faithfulness;uncertainty;step-level,texts/geofaith-a-spatio-temporal-dual-view-of-faithful-chain-of-thought.txt,notes/geofaith-a-spatio-temporal-dual-view-of-faithful-chain-of-thought.md
geometry-of-reason-spectral-signatures-of-valid-mathematical-reasoning,Geometry of Reason Spectral Signatures of Valid Mathematical Reasoning.pdf,C:\Users\613\Desktop\papers\推理\Geometry of Reason Spectral Signatures of Valid Mathematical Reasoning.pdf,Geometry of Reason: Spectral Signatures of Valid Mathematical Reasoning,30,14036,82721,geometry;dynamics;faithfulness;uncertainty;hallucination,texts/geometry-of-reason-spectral-signatures-of-valid-mathematical-reasoning.txt,notes/geometry-of-reason-spectral-signatures-of-valid-mathematical-reasoning.md
hallucination-basins,Hallucination Basins.pdf,C:\Users\613\Desktop\papers\推理\Hallucination Basins.pdf,Hallucination Basins: A Dynamic Framework for Understanding and Controlling LLM Hallucinations,26,10465,62286,geometry;dynamics;uncertainty;hallucination;emergence,texts/hallucination-basins.txt,notes/hallucination-basins.md
hidden-error-awareness-in-chain-of-thought-reasoning-the-signal-is-diagnostic-not-causal,"Hidden Error Awareness in Chain-of-Thought Reasoning-The Signal Is Diagnostic, Not Causal.pdf","C:\Users\613\Desktop\papers\推理\Hidden Error Awareness in Chain-of-Thought Reasoning-The Signal Is Diagnostic, Not Causal.pdf","Hidden Error Awareness in Chain-of-Thought Reasoning: The Signal Is Diagnostic, Not Causal",9,4926,28863,dynamics;faithfulness;uncertainty,texts/hidden-error-awareness-in-chain-of-thought-reasoning-the-signal-is-diagnostic-not-causal.txt,notes/hidden-error-awareness-in-chain-of-thought-reasoning-the-signal-is-diagnostic-not-causal.md
how-language-models-fail-token-level-signatures-of-committed-and-persistent-reasoning-failures,How Language Models Fail-Token-Level Signatures of Committed and Persistent Reasoning Failures.pdf,C:\Users\613\Desktop\papers\推理\How Language Models Fail-Token-Level Signatures of Committed and Persistent Reasoning Failures.pdf,How Language Models Fail: Token-Level Signatures of Committed and Persistent Reasoning Failures,15,10115,58795,dynamics;faithfulness;uncertainty;emergence,texts/how-language-models-fail-token-level-signatures-of-committed-and-persistent-reasoning-failures.txt,notes/how-language-models-fail-token-level-signatures-of-committed-and-persistent-reasoning-failures.md
howllmsdetectandcorrect-their-own-errors-the-role-of-internal-confidence-signals,HowLLMsDetectandCorrect Their Own Errors-The Role of Internal Confidence Signals.pdf,C:\Users\613\Desktop\papers\推理\HowLLMsDetectandCorrect Their Own Errors-The Role of Internal Confidence Signals.pdf,How LLMs Detect and Correct Their Own Errors: The Role of Internal Confidence Signals,35,16885,110041,dynamics;faithfulness;uncertainty,texts/howllmsdetectandcorrect-their-own-errors-the-role-of-internal-confidence-signals.txt,notes/howllmsdetectandcorrect-their-own-errors-the-role-of-internal-confidence-signals.md
knowmore-knowclearer,"KnowMore, KnowClearer.pdf","C:\Users\613\Desktop\papers\推理\KnowMore, KnowClearer.pdf","Know More, Know Clearer: A Meta-Cognitive Framework for Knowledge Augmentation in Large Language Models",30,17735,111139,uncertainty,texts/knowmore-knowclearer.txt,notes/knowmore-knowclearer.md
large-vision-language-models-get-lost-in-attention,Large Vision–Language Models Get Lost in Attention.pdf,C:\Users\613\Desktop\papers\推理\Large Vision–Language Models Get Lost in Attention.pdf,Large Vision-Language Models Get Lost in Attention,25,16199,96263,geometry;dynamics,texts/large-vision-language-models-get-lost-in-attention.txt,notes/large-vision-language-models-get-lost-in-attention.md
latent-spatio-temporal-chain-of-thought-for-robotic,Latent Spatio-Temporal Chain-of-Thought for Robotic.pdf,C:\Users\613\Desktop\papers\推理\Latent Spatio-Temporal Chain-of-Thought for Robotic.pdf,LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model,18,12157,75370,geometry;dynamics;faithfulness,texts/latent-spatio-temporal-chain-of-thought-for-robotic.txt,notes/latent-spatio-temporal-chain-of-thought-for-robotic.md
limited-reasoning-space,Limited Reasoning Space.pdf,C:\Users\613\Desktop\papers\推理\Limited Reasoning Space.pdf,Limited Reasoning Space: The cage of long-horizon reasoning in LLMs,26,14119,87830,dynamics;faithfulness;uncertainty;hallucination,texts/limited-reasoning-space.txt,notes/limited-reasoning-space.md
llmreasoning-as-trajectories,LLMReasoning as Trajectories.pdf,C:\Users\613\Desktop\papers\推理\LLMReasoning as Trajectories.pdf,LLM Reasoning as Trajectories: Step-Specific Representation Geometry and Correctness Signals,16,9184,58888,geometry;dynamics;faithfulness;step-level,texts/llmreasoning-as-trajectories.txt,notes/llmreasoning-as-trajectories.md
lyapunov-probes-for-hallucination-detection-in-large-foundation-models,Lyapunov Probes for Hallucination Detection in Large Foundation Models.pdf,C:\Users\613\Desktop\papers\推理\Lyapunov Probes for Hallucination Detection in Large Foundation Models.pdf,Lyapunov Probes for Hallucination Detection in Large Foundation Models,11,7636,50504,dynamics;faithfulness;uncertainty;hallucination;emergence,texts/lyapunov-probes-for-hallucination-detection-in-large-foundation-models.txt,notes/lyapunov-probes-for-hallucination-detection-in-large-foundation-models.md
muon-dynamics-as-a-spectral-wasserstein-flow,Muon Dynamics as a Spectral Wasserstein Flow.pdf,C:\Users\613\Desktop\papers\推理\Muon Dynamics as a Spectral Wasserstein Flow.pdf,Muon Dynamics as a Spectral Wasserstein Flow,42,20210,109621,geometry;dynamics,texts/muon-dynamics-as-a-spectral-wasserstein-flow.txt,notes/muon-dynamics-as-a-spectral-wasserstein-flow.md
reasoning-emerges-from-constrained-inference,Reasoning emerges from constrained inference.pdf,C:\Users\613\Desktop\papers\推理\Reasoning emerges from constrained inference.pdf,Reasoning emerges from constrained inference manifolds in large language models,14,7940,54894,geometry;dynamics;emergence,texts/reasoning-emerges-from-constrained-inference.txt,notes/reasoning-emerges-from-constrained-inference.md
reasoning-fails-where-step-flow-breaks,Reasoning Fails Where Step Flow Breaks.pdf,C:\Users\613\Desktop\papers\推理\Reasoning Fails Where Step Flow Breaks.pdf,Reasoning Fails Where Step Flow Breaks,17,11241,64790,dynamics;faithfulness;hallucination;step-level,texts/reasoning-fails-where-step-flow-breaks.txt,notes/reasoning-fails-where-step-flow-breaks.md
reasoning-models-dont-just-think-longer,"Reasoning Models Don’t Just Think Longer,.pdf","C:\Users\613\Desktop\papers\推理\Reasoning Models Don’t Just Think Longer,.pdf","Reasoning Models Don't Just Think Longer, They Move Differently",25,13238,84332,geometry;dynamics;faithfulness;uncertainty;emergence,texts/reasoning-models-dont-just-think-longer.txt,notes/reasoning-models-dont-just-think-longer.md
revolutionizing-reinforcement-learning,REVOLUTIONIZING REINFORCEMENT LEARNING.pdf,C:\Users\613\Desktop\papers\推理\REVOLUTIONIZING REINFORCEMENT LEARNING.pdf,===== PAGE 1 / 26 ===== Published as a conference paper at ICLR 2026,26,14148,82647,dynamics;faithfulness;uncertainty;emergence,texts/revolutionizing-reinforcement-learning.txt,notes/revolutionizing-reinforcement-learning.md
the-origins-of-representation-manifolds-in-large,The Origins of Representation Manifolds in Large.pdf,C:\Users\613\Desktop\papers\推理\The Origins of Representation Manifolds in Large.pdf,The Origins of Representation Manifolds in Large Language Models,16,8135,49405,geometry,texts/the-origins-of-representation-manifolds-in-large.txt,notes/the-origins-of-representation-manifolds-in-large.md
the-shape-of-reasoning-topological-analysis-of,The Shape of Reasoning - Topological Analysis of.pdf,C:\Users\613\Desktop\papers\推理\The Shape of Reasoning - Topological Analysis of.pdf,The Shape of Reasoning: Topological Analysis of Reasoning Traces in Large Language Models,19,8138,46095,geometry;dynamics;faithfulness,texts/the-shape-of-reasoning-topological-analysis-of.txt,notes/the-shape-of-reasoning-topological-analysis-of.md
the-spectral-geometry-of-thought-phase-transitions-instruction-reversal-token-level-dynamics-and,"The Spectral Geometry of Thought Phase Transitions, Instruction Reversal, Token-Level Dynamics, and Perfect Correctness Prediction in How Transformers Reason.pdf","C:\Users\613\Desktop\papers\推理\The Spectral Geometry of Thought Phase Transitions, Instruction Reversal, Token-Level Dynamics, and Perfect Correctness Prediction in How Transformers Reason.pdf","The Spectral Geometry of Thought: Phase Transitions, Instruction Reversal, Token-Level Dynamics, and Perfect Correctness Prediction in How Transformers Reason",26,9040,58870,geometry;dynamics;faithfulness,texts/the-spectral-geometry-of-thought-phase-transitions-instruction-reversal-token-level-dynamics-and.txt,notes/the-spectral-geometry-of-thought-phase-transitions-instruction-reversal-token-level-dynamics-and.md
thegeometryoftruth,TheGeometryofTruth.pdf,C:\Users\613\Desktop\papers\推理\TheGeometryofTruth.pdf,The Geometry of Truth: Layer-wise Semantic Dynamics for Hallucination Detection in Large Language Models,27,8184,60269,geometry;dynamics;faithfulness;uncertainty;hallucination,texts/thegeometryoftruth.txt,notes/thegeometryoftruth.md
towardslong-horizoninterpretability,TowardsLong-HorizonInterpretability.pdf,C:\Users\613\Desktop\papers\推理\TowardsLong-HorizonInterpretability.pdf,Towards Long-Horizon Interpretability: Efficient and Faithful Multi-Token Attribution for Reasoning LLMs,26,15184,97780,dynamics;faithfulness,texts/towardslong-horizoninterpretability.txt,notes/towardslong-horizoninterpretability.md
tracing-uncertainty-in-language-model-reasoning,Tracing Uncertainty in Language Model Reasoning.pdf,C:\Users\613\Desktop\papers\推理\Tracing Uncertainty in Language Model Reasoning.pdf,"Tracing Uncertainty in Language Model ""Reasoning""",17,9546,58572,dynamics;faithfulness;uncertainty,texts/tracing-uncertainty-in-language-model-reasoning.txt,notes/tracing-uncertainty-in-language-model-reasoning.md
truth-as-a-trajectory,Truth as a Trajectory.pdf,C:\Users\613\Desktop\papers\推理\Truth as a Trajectory.pdf,Truth as a Trajectory: What Internal Representations Reveal About Large Language Model Reasoning,15,9684,60657,geometry;dynamics;faithfulness,texts/truth-as-a-trajectory.txt,notes/truth-as-a-trajectory.md
two-pathways-to-truthfulness-on-the-intrinsic,Two Pathways to Truthfulness-On the Intrinsic.pdf,C:\Users\613\Desktop\papers\推理\Two Pathways to Truthfulness-On the Intrinsic.pdf,"===== PAGE 1 / 47 ===== Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 25580–25626",47,15469,90593,dynamics;uncertainty;hallucination;emergence,texts/two-pathways-to-truthfulness-on-the-intrinsic.txt,notes/two-pathways-to-truthfulness-on-the-intrinsic.md
verifying-chain-of-thought-reasoning-via-its,VERIFYING CHAIN-OF-THOUGHT REASONING VIA ITS.pdf,C:\Users\613\Desktop\papers\推理\VERIFYING CHAIN-OF-THOUGHT REASONING VIA ITS.pdf,===== PAGE 1 / 28 ===== Published as a conference paper at ICLR 2026,28,16175,101689,geometry;dynamics;faithfulness;step-level;emergence,texts/verifying-chain-of-thought-reasoning-via-its.txt,notes/verifying-chain-of-thought-reasoning-via-its.md
what-do-geometric-hallucination-detection-metrics-actually-measure,What do Geometric Hallucination Detection Metrics Actually Measure.pdf,C:\Users\613\Desktop\papers\推理\What do Geometric Hallucination Detection Metrics Actually Measure.pdf,What do Geometric Hallucination Detection Metrics Actually Measure?,10,5321,32851,geometry;uncertainty;hallucination,texts/what-do-geometric-hallucination-detection-metrics-actually-measure.txt,notes/what-do-geometric-hallucination-detection-metrics-actually-measure.md
wheredoesreasoningbreak,WhereDoesReasoningBreak.pdf,C:\Users\613\Desktop\papers\推理\WhereDoesReasoningBreak.pdf,Where Does Reasoning Break? Step-Level Hallucination Detection via Hidden-State Transport Geometry,14,8125,48442,geometry;dynamics;uncertainty;hallucination;step-level,texts/wheredoesreasoningbreak.txt,notes/wheredoesreasoningbreak.md
